"Year","Cancer_group_site","Count","ASR_2001_AusPop_per_100k"
1971,"Melanoma of the skin",351,3.4
1972,"Melanoma of the skin",369,3.5
1973,"Melanoma of the skin",376,3.5
1974,"Melanoma of the skin",401,3.7
1975,"Melanoma of the skin",424,3.9
1976,"Melanoma of the skin",437,3.9
1977,"Melanoma of the skin",509,4.5
1978,"Melanoma of the skin",505,4.3
1979,"Melanoma of the skin",530,4.5
1980,"Melanoma of the skin",543,4.5
1981,"Melanoma of the skin",571,4.6
1982,"Melanoma of the skin",596,4.7
1983,"Melanoma of the skin",623,4.9
1984,"Melanoma of the skin",640,4.8
1985,"Melanoma of the skin",672,5
1986,"Melanoma of the skin",688,5
1987,"Melanoma of the skin",798,5.7
1988,"Melanoma of the skin",772,5.4
1989,"Melanoma of the skin",782,5.4
1990,"Melanoma of the skin",829,5.6
1991,"Melanoma of the skin",804,5.3
1992,"Melanoma of the skin",867,5.5
1993,"Melanoma of the skin",853,5.4
1994,"Melanoma of the skin",897,5.5
1995,"Melanoma of the skin",935,5.6
1996,"Melanoma of the skin",905,5.3
1997,"Melanoma of the skin",902,5.1
1998,"Melanoma of the skin",966,5.4
1999,"Melanoma of the skin",NA,5.5
2000,"Melanoma of the skin",971,5.2
2001,"Melanoma of the skin",NA,5.6
2002,"Melanoma of the skin",NA,5.3
2003,"Melanoma of the skin",NA,5.7
2004,"Melanoma of the skin",NA,5.8
2005,"Melanoma of the skin",NA,6
2006,"Melanoma of the skin",NA,5.8
2007,"Melanoma of the skin",NA,5.9
2008,"Melanoma of the skin",NA,6.1
2009,"Melanoma of the skin",NA,6
2010,"Melanoma of the skin",NA,5.9
2011,"Melanoma of the skin",NA,6.2
2012,"Melanoma of the skin",NA,6
2013,"Melanoma of the skin",NA,6.2
2014,"Melanoma of the skin",NA,5.5
2015,"Melanoma of the skin",NA,5.4
2016,"Melanoma of the skin",NA,4.5
2017,"Melanoma of the skin",NA,4.8
2018,"Melanoma of the skin",NA,4.7
2019,"Melanoma of the skin",NA,4.5
2020,"Melanoma of the skin",NA,4.4
2021,"Melanoma of the skin",NA,4.4
1971,"Non-melanoma skin cancer (all types)",143,1.9
1972,"Non-melanoma skin cancer (all types)",130,1.6
1973,"Non-melanoma skin cancer (all types)",134,1.6
1974,"Non-melanoma skin cancer (all types)",160,1.8
1975,"Non-melanoma skin cancer (all types)",149,1.6
1976,"Non-melanoma skin cancer (all types)",153,1.7
1977,"Non-melanoma skin cancer (all types)",218,2.3
1978,"Non-melanoma skin cancer (all types)",202,2.1
1979,"Non-melanoma skin cancer (all types)",181,1.9
1980,"Non-melanoma skin cancer (all types)",166,1.6
1981,"Non-melanoma skin cancer (all types)",192,1.8
1982,"Non-melanoma skin cancer (all types)",189,1.7
1983,"Non-melanoma skin cancer (all types)",213,1.9
1984,"Non-melanoma skin cancer (all types)",228,2
1985,"Non-melanoma skin cancer (all types)",184,1.6
1986,"Non-melanoma skin cancer (all types)",206,1.7
1987,"Non-melanoma skin cancer (all types)",220,1.7
1988,"Non-melanoma skin cancer (all types)",210,1.6
1989,"Non-melanoma skin cancer (all types)",285,2.1
1990,"Non-melanoma skin cancer (all types)",264,1.9
1991,"Non-melanoma skin cancer (all types)",266,1.8
1992,"Non-melanoma skin cancer (all types)",373,2.5
1993,"Non-melanoma skin cancer (all types)",374,2.5
1994,"Non-melanoma skin cancer (all types)",358,2.3
1995,"Non-melanoma skin cancer (all types)",367,2.3
1996,"Non-melanoma skin cancer (all types)",359,2.2
1997,"Non-melanoma skin cancer (all types)",343,2
1998,"Non-melanoma skin cancer (all types)",358,2.1
1999,"Non-melanoma skin cancer (all types)",383,2.1
2000,"Non-melanoma skin cancer (all types)",359,1.9
2001,"Non-melanoma skin cancer (all types)",387,2
2002,"Non-melanoma skin cancer (all types)",415,2.1
2003,"Non-melanoma skin cancer (all types)",390,1.9
2004,"Non-melanoma skin cancer (all types)",361,1.7
2005,"Non-melanoma skin cancer (all types)",412,1.9
2006,"Non-melanoma skin cancer (all types)",410,1.8
2007,"Non-melanoma skin cancer (all types)",460,2
2008,"Non-melanoma skin cancer (all types)",403,1.7
2009,"Non-melanoma skin cancer (all types)",468,1.9
2010,"Non-melanoma skin cancer (all types)",444,1.8
2011,"Non-melanoma skin cancer (all types)",532,2
2012,"Non-melanoma skin cancer (all types)",536,2
2013,"Non-melanoma skin cancer (all types)",599,2.2
2014,"Non-melanoma skin cancer (all types)",607,2.1
2015,"Non-melanoma skin cancer (all types)",635,2.2
2016,"Non-melanoma skin cancer (all types)",681,2.3
2017,"Non-melanoma skin cancer (all types)",642,2.1
2018,"Non-melanoma skin cancer (all types)",665,2.1
2019,"Non-melanoma skin cancer (all types)",673,2
2020,"Non-melanoma skin cancer (all types)",729,2.1
2021,"Non-melanoma skin cancer (all types)",765,2.1
