"Year","Cancer_group_site","Count","ASR_2001_AusPop_per_100k"
1982,"Melanoma of the skin",NA,26.7
1983,"Melanoma of the skin",NA,28.1
1984,"Melanoma of the skin",NA,29.6
1985,"Melanoma of the skin",NA,32.1
1986,"Melanoma of the skin",NA,32.8
1987,"Melanoma of the skin",NA,37.8
1988,"Melanoma of the skin",NA,40.2
1989,"Melanoma of the skin",NA,37.4
1990,"Melanoma of the skin",NA,37.7
1991,"Melanoma of the skin",NA,37.7
1992,"Melanoma of the skin",NA,40.7
1993,"Melanoma of the skin",NA,41.3
1994,"Melanoma of the skin",NA,41.6
1995,"Melanoma of the skin",NA,43.8
1996,"Melanoma of the skin",NA,45.2
1997,"Melanoma of the skin",NA,47.6
1998,"Melanoma of the skin",NA,44.3
1999,"Melanoma of the skin",NA,45.5
2000,"Melanoma of the skin",NA,46.2
2001,"Melanoma of the skin",NA,46.7
2002,"Melanoma of the skin",NA,50.1
2003,"Melanoma of the skin",NA,47.8
2004,"Melanoma of the skin",NA,48.2
2005,"Melanoma of the skin",NA,51.8
2006,"Melanoma of the skin",NA,49
2007,"Melanoma of the skin",NA,47.7
2008,"Melanoma of the skin",NA,49.6
2009,"Melanoma of the skin",NA,49.3
2010,"Melanoma of the skin",NA,48.9
2011,"Melanoma of the skin",NA,48.1
2012,"Melanoma of the skin",NA,49.5
2013,"Melanoma of the skin",NA,50.8
2014,"Melanoma of the skin",NA,51
2015,"Melanoma of the skin",NA,51.9
2016,"Melanoma of the skin",NA,53.7
2017,"Melanoma of the skin",NA,54
2018,"Melanoma of the skin",NA,53.4
2019,"Melanoma of the skin",NA,53.8
2001,"Non-melanoma skin cancer (rare types)",502,2.6
2002,"Non-melanoma skin cancer (rare types)",535,2.7
2003,"Non-melanoma skin cancer (rare types)",531,2.6
2004,"Non-melanoma skin cancer (rare types)",564,2.7
2005,"Non-melanoma skin cancer (rare types)",572,2.7
2006,"Non-melanoma skin cancer (rare types)",611,2.8
2007,"Non-melanoma skin cancer (rare types)",658,2.9
2008,"Non-melanoma skin cancer (rare types)",642,2.8
2009,"Non-melanoma skin cancer (rare types)",694,2.9
2010,"Non-melanoma skin cancer (rare types)",699,2.9
2011,"Non-melanoma skin cancer (rare types)",688,2.8
2012,"Non-melanoma skin cancer (rare types)",763,3
2013,"Non-melanoma skin cancer (rare types)",850,3.2
2014,"Non-melanoma skin cancer (rare types)",854,3.2
2015,"Non-melanoma skin cancer (rare types)",931,3.3
2016,"Non-melanoma skin cancer (rare types)",979,3.4
2017,"Non-melanoma skin cancer (rare types)",NA,3.8
2018,"Non-melanoma skin cancer (rare types)",NA,3.3
2019,"Non-melanoma skin cancer (rare types)",NA,4.1
